MASCARA;IES
1424;1048
1425;461
1426;375
1427;1434
1428;664
1429;2450
1430;5285
1431;160
1432;457
1433;1772
1434;2827
1435;3270
1436;5312
1437;405
1438;1489
1439;68
1440;2624
1441;1853
1442;2539
1443;3186
1444;
1445;1190
1446;763
1447;570
1448;284
1449;5600
1450;2564
1451;3697
1452;1552
1453;1936
1454;1884
1455;1701
1456;5314
1457;3204
1458;659
1459;1502
1460;1249
1461;1258
1462;1868
1463;12522
1464;797
1465;3400
1466;25352
1467;1980
1468;3839
1469;1842
1470;2247
1471;1612
1472;2
1473;3989
1474;1640
1475;467
1476;1752
1477;18492
1478;1246
1479;1212
1480;1189
1481;634
1482;2287
1483;3641
1484;5370
1485;5217
1486;242
1487;648
1488;3779
1489;243
1490;768
1491;1720
1492;1662
1493;1801
1494;5218
1495;609
1496;877
1497;222
1498;798
1499;2623
1500;5314
1501;2755
1502;2410
1503;5600
1504;740
1505;2497
1506;685
1507;3516
1508;1049
1509;1951
1510;1267
1511;1860
1512;1128
1513;5370
1514;1930
1515;2761
1516;2726
1517;1371
1518;801
1519;2652
1520;3184
1521;744
1522;1157
1523;4503
1524;4534
1525;1790
1526;77
1527;3152
1528;745
1529;2911
1530;636
1531;2040
1532;1702
1533;2012
1534;
1535;
1536;2077
1537;1587
1538;1493
1539;
1540;599
1541;383
1542;1556
1543;198
1544;900
1545;3587
1546;1072
1547;2177
1548;1723
1549;3431
1550;15015
1551;368
1552;1783
1553;1833
1554;1507
1555;60
1556;3840
1557;18492
1558;1131
1559;5242
1560;3034
1561;94
1562;1765
1563;2369
1564;19257
1565;3840
1566;3427
1567;509
1568;1615
1569;1632
1570;1567
1571;376
1572;760
1573;4066
1574;3769
1575;19257
1576;1300
1577;3514
1578;1883
1579;1739
1580;545
1581;1876
1582;2056
1583;1965
1584;1275
1585;1628
1586;2908
1587;1869
1588;2528
1589;861
1590;353
1591;926
1592;2442
1593;2660
1594;58
1595;387
1596;5520
1597;3518
1598;2561
1599;3847
1600;3495
1601;2102
1602;1162
1603;19257
1604;3805
1605;1156
1606;2147
1607;1194
1608;2849
1609;5663
1610;
1611;1333
1612;1155
1613;231
1614;1161
1615;5044
1616;2366
1617;1708
1618;95
1619;2593
1620;
1621;1585
1622;1141
1623;906
1624;1967
1625;5277
1626;2168
1627;519
1628;1901
1629;14724
1630;4100
1631;5439
1632;1136
1633;2117
1634;528
1635;1932
1636;4394
1637;2710
1638;22
1639;1874
1640;1429
1641;852
1642;461
1643;1147
1644;2549
1645;4093
1646;3840
1647;593
1648;12
1649;2440
1650;1597
1651;138
1652;1903
1653;3437
1654;1497
1655;3466
1656;3977
1657;530
1658;2556
1659;1993
1660;621
1661;1443
1662;633
1663;3183
1664;1738
1665;2630
1666;2130
1667;997
1668;1782
1669;454
1670;1403
1671;792
1672;1191
1673;572
1674;1280
1675;661
1676;848
1677;2554
1678;3778
1679;832
1680;1315
1681;6
1682;1939
1683;1404
1684;3830
1685;645
1686;1445
1687;1827
1688;2237
1689;1446
1690;1027
1691;717
1692;845
1693;1526
1694;
1695;1314
1696;3156
1697;
1698;2312
1699;674
1700;17
1701;1742
1702;1875
1703;1296
1704;576
1705;5216
1706;2633
1707;1550
1708;1503
1709;1182
1710;4026
1711;35
1712;3117
1713;1096
1714;3983
1715;1336
1716;1554
1717;2581
1718;825
1719;384
1720;796
1721;3165
1722;823
1723;3160
1724;526
1725;3027
1726;5439
1727;3302
1728;439
1729;1974
1730;3042
1731;521
1732;3227
1733;5451
1734;2538
1735;2677
1736;2243
1737;4077
1738;2383
1739;1576
1740;277
1741;3182
1742;1851
1743;2470
1744;657
1745;2576
1746;1530
1747;3365
1748;16
1749;296
1750;1159
1751;167
1752;2488
1753;1034
1754;
1755;589
1756;2859
